,value
nodes,83.0
edges,92.0
density,0.027034969144872172
avg_degree,2.216867469879518
avg_weighted_degree,5.927710843373494
avg_clustering,0.05085432633974173
connected_components,1.0
diameter,4.0
avg_shortest_path,2.088157508081105
