category,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
Decision Support / Policy Evaluation,6,70,1.0,0.3333333333333333,1.0,0.6045859965602307
Explanatory,5,48,0.8333333333333333,0.0,0.8571428571428571,0.42493356232754675
Exploratory,4,46,0.6666666666666666,0.0,0.75,0.4771663771598798
Predictive,3,31,0.5,0.0,0.6666666666666666,0.38130003795938694
Theoretical / Illustrative,4,27,0.6666666666666666,0.0,0.75,0.26509981066199445
Descriptive / Phenomena-based,5,10,0.8333333333333333,0.9,0.8571428571428571,0.09929344750558994
Communication / Education,1,2,0.16666666666666666,0.0,0.5454545454545454,0.026318654992387704
