category,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
Exploratory / Scenario-based,6,97,1.0,0.3333333333333333,1.0,0.6755150213450295
Local (OAT/OFAT),5,61,0.8333333333333333,0.06666666666666667,0.8571428571428571,0.5585458464823144
Regression / Statistical Inference,4,48,0.6666666666666666,0.0,0.75,0.4436897519461583
Global (Variance-based),5,21,0.8333333333333333,0.3333333333333333,0.8571428571428571,0.14804858061613477
Metamodeling / Surrogate,4,14,0.6666666666666666,0.0,0.75,0.10235994424631323
Global (Screening),3,8,0.5,0.4,0.6666666666666666,0.048328615410212314
NA,1,1,0.16666666666666666,0.0,0.5454545454545454,0.010667795297402409
